,FF,MM,MF,FM
0,0.736902276674572,0.73357688954298,0.72975662189465,0.747523824821538
3,0.686136980528159,0.677682965676613,0.680905217683458,0.701637504351012
6,0.627480564731774,0.621672887267738,0.624563866146931,0.640038937955638
9,0.575086879988576,0.559125988083294,0.556475836332192,0.581738785403612
12,0.511162107269632,0.491916529624386,0.491743573367359,0.512426145327386
15,0.44734710338842,0.435995269578316,0.432280642500635,0.466228982307134
18,0.400571062557789,0.396509441738476,0.391534728186497,0.413057104723986
21,0.366210533871735,0.35279473408973,0.351473839441294,0.368841695385259
24,0.331756703759107,0.321548711230208,0.317480237499233,0.340539415658588
27,0.310495611859031,0.301176754590786,0.297690884598312,0.312515726649311
30,0.296032632659353,0.283911021994651,0.282868832822962,0.301939181094249
