,FF,MM,MF,FM
0,0.7426253793676526,0.7375184053289849,0.730310938819201,0.7536018023022673
3,0.6867516892388755,0.682259838093053,0.6824854044300002,0.6894033641821065
6,0.6341581563351899,0.6155645009250629,0.6201082558150917,0.6483786101514664
9,0.5600122100524131,0.5567056858969769,0.5623759258292834,0.5842765274277931
12,0.5010028474875544,0.4923411913293217,0.49385176471030123,0.5153902806918844
15,0.4421252664508814,0.4384964582228418,0.43400397019821363,0.46380388163362024
18,0.3987025288063448,0.3889121985434369,0.3860550049507107,0.4072125736000338
21,0.36630989056490854,0.350079733371399,0.34642174678460474,0.3716609851128012
24,0.34240838461684076,0.3203141796887744,0.32022839234698747,0.34280880398108365
27,0.30803004443646154,0.3032922865659367,0.2969820345720625,0.31659403505878325
30,0.296227013380657,0.2850246762371423,0.2854971136112746,0.2945720286288274
