,FF,MM,MF,FM
0,0.7396164748913937,0.7321126099779457,0.7334386518604714,0.7449897743284687
3,0.6870795237225277,0.6785200757416313,0.6813144077615702,0.698664861378565
6,0.6237999730309853,0.6208603445190037,0.6231251924524439,0.6430040894685352
9,0.5585437952535869,0.55409528320029,0.5555471852726992,0.5815518035942175
12,0.5014415362740994,0.4941505898012153,0.49216843111837605,0.5154810338408226
15,0.448135774154653,0.43493236468417734,0.4346831896289472,0.4588837043116843
18,0.40107434574424067,0.38948931986228136,0.3890793170727739,0.41812686504458574
21,0.3653086414240748,0.3517356818155429,0.34648744312329044,0.3732245470174794
24,0.3362000225000698,0.31936922276372404,0.31959228777057075,0.34197385934944435
27,0.30977616177296297,0.3029636797221048,0.2982732241569758,0.3140490474061446
30,0.29621882650754455,0.2865010396648581,0.2823336511379811,0.2982866189427033
