,FF,MM,MF,FM
0,0.7318719113969431,0.7318954603896334,0.7376243355763982,0.7440918143048224
3,0.6901069215681462,0.6801848551828806,0.6845977209561599,0.696692784990841
6,0.6296536383367652,0.6219626601413256,0.6193710850029696,0.6435781941834717
9,0.5565662812888579,0.5597354074050589,0.5619719221098796,0.5718604580594608
12,0.4991103160605731,0.49057166733156937,0.4945512789600446,0.5150305125749591
15,0.44239758973494675,0.4360345207485204,0.43905382797320996,0.46097572903469314
18,0.3998849050092801,0.3876894690396634,0.3840486241227668,0.4138271071645092
21,0.36529460749162573,0.3513932285608613,0.35070057717283937,0.3761103178042259
24,0.334858524827862,0.32140942672208256,0.3207483972046197,0.3429664378188244
27,0.3082978657506557,0.2988311843571223,0.29563261560336074,0.3124985715687093
30,0.295388132275073,0.28484783525703455,0.28374086889631567,0.30119930579361004
