,FF,MM,MF,FM
0,0.7340281145185004,0.7293302995092069,0.7320145890125708,0.7458492583472774
3,0.6769238584553833,0.6781250538692557,0.6777447881446457,0.6979086548566854
6,0.6251927191805219,0.6264386333893526,0.6233381490954112,0.6451151702190485
9,0.5611599577263279,0.5500741925641147,0.5556617561732929,0.5771162178265516
12,0.504422016942015,0.49159077613765356,0.491877629392687,0.5143665179800339
15,0.44871788190997064,0.4374796399071965,0.4373537083053398,0.47156660687444024
18,0.40127055261877614,0.3911744036409127,0.38834886340527547,0.40844370068229824
21,0.36552728656295164,0.3523051709870195,0.34979341158160643,0.37183992511227393
24,0.3352928443850868,0.32200398131601016,0.32189248897263606,0.33845898536721036
27,0.30909657527375994,0.2968357475318588,0.29695852761718083,0.31102044539151297
30,0.2954229850276382,0.28452793984728714,0.28249873903456946,0.3024604171460015
