,FF,MM,MF,FM
0,0.7359405579629423,0.7303196735539287,0.7308649045270057,0.7550815248530724
3,0.6811961170507033,0.6786488542460202,0.6811688327981305,0.6984283646006583
6,0.6286328694809457,0.6171631023529198,0.6289072320981806,0.6425179663406451
9,0.5612001221038598,0.5541508416623973,0.5552281066955247,0.5842790164292163
12,0.49966533191227763,0.49266513318071575,0.4945350982112833,0.5123569313310329
15,0.4458772093963161,0.4316352975310451,0.43684190006269513,0.45671303373370553
18,0.3987898625785089,0.39174842097957274,0.38815020969627095,0.4144973504167945
21,0.36813798385957214,0.35041144246903705,0.35036843933257256,0.37455687215030115
24,0.33278347217589616,0.32356109857556886,0.31772754759120597,0.3382295571602289
27,0.3099337222633013,0.2977501144116943,0.29739351916198725,0.31915340615148713
30,0.29325202830198155,0.28387213817368434,0.28325005507443257,0.298298177473448
