,FF,MM,MF,FM
0,0.7335798692214539,0.7288982338252628,0.7308584304850014,0.7416366145762591
3,0.685433405831065,0.6819459061203823,0.6761274779040966,0.7049776358093667
6,0.6327302549973307,0.6120636054412949,0.6215905804481621,0.6397506757373379
9,0.5666941819317428,0.5504040063708449,0.5592015785791408,0.5770119549168518
12,0.5005466590783546,0.49606229328933243,0.4920761652987171,0.5118701718614806
15,0.4506152096301495,0.43844158717626264,0.44030422283671705,0.4650497205438084
18,0.3990055105165451,0.389301923228176,0.3826733278159308,0.4146949971924358
21,0.36466836985367035,0.3500430503689486,0.35204237873752386,0.37314070570603847
24,0.33524461465016514,0.31986407797175814,0.3198291237741903,0.34590362051654105
27,0.310964124133865,0.29754942570558135,0.2988657365602257,0.31582110624080983
30,0.29744776680105117,0.2844142142945882,0.282735521638989,0.300948475431173
