,FF,MM,MF,FM
0,0.736455193876755,0.733483761847375,0.731059907121867,0.746916332743342
3,0.686680309404117,0.675999073126543,0.681155181728179,0.70602392834241
6,0.626570081655752,0.620703017117199,0.624937466827822,0.638808847563181
9,0.565691565765236,0.554488124805941,0.560086535564339,0.575973377740408
12,0.507447445321161,0.492742689557356,0.494028218402899,0.511166971132021
15,0.450315449734755,0.434131317872965,0.434385183974352,0.459491337085677
18,0.398998835613131,0.392184663781514,0.386001192208317,0.411162650276885
21,0.360341199460272,0.353667402564557,0.344802800434303,0.374877714941759
24,0.335549241129866,0.320709170592295,0.321033192933978,0.340532430873821
27,0.312412756794438,0.30164597347102,0.299396486605206,0.311293379867094
30,0.297124538409963,0.28760040512015,0.284401251059462,0.297402220310854
