,FF,MM,MF,FM
0,0.735281258886706,0.734362116848936,0.739793345632611,0.744408407115709
3,0.689725840224463,0.68344628712749,0.680100431957624,0.703573169644349
6,0.623990405561039,0.615485690872726,0.617661010655885,0.639787596865474
9,0.569472007837615,0.557620063113326,0.558476301372691,0.583100041934154
12,0.49844901879983,0.490724594326483,0.495937627197552,0.521433559947732
15,0.4522142261674,0.436704313470856,0.433648306961642,0.46169544514531
18,0.404152055706975,0.389838965389172,0.390516202644355,0.409273019162643
21,0.362459627451618,0.350632403491522,0.348720319983538,0.36959769366008
24,0.334958348867131,0.321207245463373,0.322693226142081,0.337130158821209
27,0.312626388449916,0.300572068790146,0.299763051059301,0.313665197786541
30,0.293282950996361,0.284040480861088,0.279308006704207,0.301058341197011
