,FF,MM,MF,FM
0,0.7389582217936207,0.730783908009374,0.7331144035213488,0.7512283799748006
3,0.6880543642533458,0.6722091052082629,0.6849891822988318,0.6955416187968203
6,0.6293341798833973,0.6171504621699763,0.6231034233751769,0.6370562246498651
9,0.5584873852518297,0.5555038903960055,0.555249175758234,0.575811996385514
12,0.5023748588586976,0.49366792746389243,0.4914843570935566,0.5132992239240443
15,0.4532797575228644,0.4424651716382868,0.43712882263131847,0.46218415279828146
18,0.3961429583918654,0.38834029507285683,0.38914092606237277,0.40709260218245724
21,0.36935253820212477,0.3530182106371593,0.35119735010221237,0.37221312980273574
24,0.3390054640273872,0.32072586153507954,0.31966775764185623,0.3439693966829174
27,0.3103826057009446,0.29902938402622453,0.30146846528339566,0.31667555805153347
30,0.2998211698628024,0.2862965102838123,0.2872838306853899,0.29761747877785577
