,FF,MM,MF,FM
0,0.7351153571488287,0.7270161295565188,0.7269705559852703,0.7456951629751453
3,0.6865744494849468,0.6786711989715272,0.6802840101523092,0.702385940735775
6,0.6242976248828873,0.6124671219590804,0.6188281723303484,0.6477150170333871
9,0.5640709878273945,0.5599391331140879,0.5571781408425711,0.5723652766167641
12,0.5023678646603604,0.4914337847344139,0.49475392886776554,0.5221645459450298
15,0.44562932255011206,0.4348906966489264,0.43479356552920234,0.4555501403479608
18,0.3972260694705272,0.39151148225034654,0.38529666409418795,0.41024026948422443
21,0.36452002426124813,0.3489674091335459,0.3492578724547056,0.3735794627965479
24,0.3336838315941791,0.3210135154245062,0.320733643150532,0.3434608067509381
27,0.3136645810528043,0.29945844826482165,0.29845352404908,0.3162217324961493
30,0.2956675673988422,0.2857854500101446,0.28509414809002925,0.2979732219510695
