,FF,MM,MF,FM
0,0.7370837029293948,0.731625127557857,0.7347813004414826,0.7536726286592804
3,0.6858019777802542,0.678191301988963,0.6850824496169268,0.7076176705076318
6,0.6263042766212512,0.6204194013857972,0.6212398374080541,0.6383708108772376
9,0.5677297222223393,0.5591202481094799,0.5519528407323369,0.5788011959859798
12,0.4992189040176742,0.49215585826461644,0.49254281750165135,0.5199998441282315
15,0.44722923982617796,0.4358069311141913,0.43372527112056025,0.45879415607323903
18,0.4026547929929438,0.3908600707862432,0.3877282494436763,0.409288534630199
21,0.36585090416666094,0.34624337142843736,0.35036875828642033,0.3759737814820835
24,0.3387282253825161,0.3193137432282219,0.32107298389175143,0.3425858502061014
27,0.31424970679213304,0.2982051119666129,0.29662421848632464,0.31837321504164695
30,0.29817933060595636,0.28791193086882405,0.2823777001694633,0.30053809695706335
