,FF,MM,MF,FM
0,0.7312737943734112,0.7288548139642104,0.7312825718584629,0.7429449358045771
3,0.6885926397530343,0.6768431965943976,0.6843865995087776,0.7046883998083056
6,0.6236121232012334,0.6152945344938711,0.6232758687297992,0.6431942931496528
9,0.5732102859818842,0.5572431859310699,0.5538162504093525,0.5753089675840137
12,0.49948685181990565,0.49451683425039944,0.4865029814075684,0.5199495905329179
15,0.4547877326867666,0.43853237854870014,0.43320962252326317,0.4583264526559054
18,0.40206515875537896,0.38644382500531654,0.3845061724266524,0.4135811607371711
21,0.36333625198458835,0.35187421787231293,0.34685045010071863,0.3715315029311232
24,0.33384546868077825,0.32124725662612147,0.3220737137330881,0.33637553169618717
27,0.31414632261176795,0.3001764500653801,0.30151761146981176,0.315592461063689
30,0.29436576233400896,0.28604779921551066,0.28437483433329924,0.3007342481233814
