,FF,MM,MF,FM
0,0.7367164896737923,0.731491184398072,0.7267348133453991,0.7490528561990927
3,0.6890733842658883,0.6819497891364139,0.6844452235979046,0.6999537291145479
6,0.627002807929533,0.6238156766447205,0.6223631960326956,0.6397290048532424
9,0.5664295451484155,0.5545212465105518,0.5582084609308288,0.58769409517347
12,0.5027836955956932,0.49227466327502817,0.4915259636708898,0.5232546784956392
15,0.4489669664313443,0.4352780603000339,0.4377752048973703,0.4606329724836372
18,0.40503609300041743,0.39214238049440747,0.3882141430620037,0.4099844942866261
21,0.36487380934785907,0.35332824519916106,0.35219641000469804,0.37213644835425125
24,0.33486972055415826,0.32069995724923955,0.3216348737021271,0.33837106252969523
27,0.31228865582052173,0.3022213965815768,0.2990304121336203,0.32067952488686374
30,0.2948383988052319,0.28401159384510394,0.2835381977390037,0.30166326470854665
