,FF,MM,MF,FM
0,0.7411259281638028,0.7301217099102338,0.7311228616823545,0.7479812488704655
3,0.6818052003088696,0.6764055342696065,0.6781137081831808,0.6936084185272611
6,0.6226126972334024,0.623783735638244,0.6249346222535714,0.642396182015579
9,0.5653219455206034,0.5565951519965686,0.5607783526428118,0.5781558904545954
12,0.5035831398089707,0.493472869467824,0.49378858951535226,0.5157470561580366
15,0.4494794368500892,0.43731847507171134,0.4317767770195754,0.4577757375147475
18,0.403463743504792,0.3896457728101289,0.3884712803079769,0.411335468976127
21,0.36466114103382546,0.349498592540086,0.34574090093452003,0.37786422078049703
24,0.3388388724829694,0.3230062844438244,0.3192887487330537,0.34131355515394013
27,0.311132101700951,0.3046319582323561,0.297043537695062,0.3144510697931303
30,0.2960330342190731,0.28597947054756534,0.28149713819180905,0.2968923484212706
