,FF,MM,MF,FM
0,0.7380924205057987,0.7268915255370528,0.7296876564367896,0.7442849174656422
3,0.6948249664264314,0.682508446067038,0.6797534890006934,0.70096953897557
6,0.6338569156020274,0.6177935973427731,0.6202167609897061,0.6422495426814174
9,0.5674044508316651,0.5559632732032977,0.5555300397657567,0.578839061511987
12,0.5005962816093055,0.49468225222616125,0.4869436065680046,0.5187345631351777
15,0.45403573420570503,0.43735640587735813,0.4348963637278155,0.45537788415898384
18,0.4089541351178828,0.39387712764529703,0.3885149137267228,0.4119811687209754
21,0.36208233816535895,0.35252096254416704,0.34593105061861557,0.374882078993172
24,0.3329114631182922,0.3198631220465075,0.31635911534124306,0.33870782000856386
27,0.3148421255280333,0.2957946708780634,0.30008318322685756,0.3143701835872234
30,0.29782326637216283,0.28633879715524835,0.28040136432127466,0.30047877216028857
