,FF,MM,MF,FM
0,0.7291552964083268,0.7268493762013382,0.730169604127712,0.7524468791144611
3,0.692120533747889,0.674817709640626,0.6835142280606072,0.6908241037631623
6,0.6231132832285476,0.6171777623916141,0.6198300017898474,0.634643810095946
9,0.5592612482970359,0.5550047247211111,0.5579450738698402,0.5793907100479823
12,0.49800347611247886,0.49021356831804,0.4905985009462394,0.5220212137222179
15,0.44795793954869595,0.4337881747331707,0.43251884314534567,0.4589228268364843
18,0.4006131783894916,0.3910151403945829,0.39006257261195443,0.4098002873289023
21,0.3619019074931948,0.3489142630104446,0.34962244514418045,0.3743616053377654
24,0.33065097037341795,0.32381873665101235,0.31742483857014847,0.34376204743958577
27,0.31323996370072754,0.30021028647924947,0.2999560552873167,0.3165455284994912
30,0.29612310344269915,0.285250986527756,0.28009224701249114,0.30270898860275797
