,FF,MM,MF,FM
0,0.7369717747211084,0.7222096492981565,0.7351460066428523,0.7442817446369135
3,0.6841923649970616,0.6840165331895585,0.6829859026712002,0.6980517866575509
6,0.6231682472177339,0.621002317468942,0.6199739678483164,0.6397067367636375
9,0.5671117254802851,0.5595895876585419,0.5520918167093566,0.5813214322228656
12,0.5118645918622259,0.4930790796526854,0.49392249179724956,0.518343499532072
15,0.45284848309202314,0.4322128747349229,0.43903472391075715,0.46379188420035433
18,0.4056335753482109,0.39203343257533263,0.38955301282161475,0.4121512996749843
21,0.36285812453856764,0.3514321838864957,0.34884957048102977,0.37288640237056
24,0.3323449095627425,0.3223225793532451,0.3203120294119095,0.3418719232402521
27,0.31620066523452817,0.30289689662699865,0.298782051090966,0.31690581962364084
30,0.29391436297212153,0.28606927155214035,0.2827748391472901,0.2948790297201532
