,FF,MM,MF,FM
0,0.7309898453826137,0.730679867386315,0.7358891478592889,0.7527238748605677
3,0.6882127021746758,0.6738319040966235,0.6843306080618726,0.6927941870087986
6,0.6241251155121765,0.6157892556016842,0.6209306016322517,0.643658093801922
9,0.569073853279274,0.5562632502028488,0.5560290633114934,0.5791344617335109
12,0.49681013865484647,0.49617246049110114,0.4921270109540963,0.517749975383972
15,0.4507383737742822,0.4338800381806952,0.4322469744510522,0.4622120166902328
18,0.4003019254836925,0.3913081934712004,0.38980380971564754,0.40947014411598337
21,0.3645097772727948,0.35022819559128276,0.3469498290807011,0.37404557867836014
24,0.3312917733520153,0.32085744899181823,0.32068552742801826,0.33666011302628196
27,0.31144753182137636,0.2995849534463473,0.30240986182988044,0.3228281589834099
30,0.29557213550103456,0.28620504115759765,0.283992389556634,0.2978122522908741
