,FF,MM,MF,FM
0,0.7290667019546864,0.7301174118702001,0.7314002132806644,0.7441972458002963
3,0.691999968159139,0.6849080096806864,0.6837830660070904,0.7021462821685601
6,0.6259190334551608,0.621566074837683,0.624066334207297,0.6403700935561012
9,0.5594855700636162,0.5533936193653878,0.5603760454249407,0.5720979150000017
12,0.4992654568696156,0.4944395634242904,0.4926379123852507,0.5116053953161
15,0.44774313225511553,0.43183763484492355,0.4401023986784622,0.46038404971917746
18,0.4027628276315758,0.3910353030165739,0.38872364783501034,0.4160848943676784
21,0.3618064559234875,0.35431586416456845,0.3503007848083246,0.37029818330142233
24,0.3385166176866913,0.3204694222923559,0.3206510023911782,0.3394327359061171
27,0.31443449782277305,0.2959207198826591,0.297849330887994,0.31889283015731396
30,0.2958980354218093,0.2877043951127138,0.2804145028973649,0.3001861559799887
