,FF,MM,MF,FM
0,0.73964,0.72762,0.72995,0.7427
3,0.68803,0.67746,0.68442,0.70317
6,0.62665,0.62026,0.62336,0.6449
9,0.56663,0.55644,0.5546,0.5851
12,0.50749,0.49022,0.49169,0.52067
15,0.45186,0.44485,0.4361,0.46051
18,0.40312730846284,0.387399810508935,0.385814138813289,0.409493930295661
21,0.369279130254636,0.352984300145675,0.346344440386039,0.374554721654775
24,0.33343629752676,0.321933083552332,0.319838813269374,0.337784591796258
27,0.311801965188111,0.300308842888774,0.296094413439895,0.315525041089293
30,0.294947654636361,0.283687660820234,0.283535096305395,0.300184261159485
