,FF,MM,MF,FM
0,0.7381642583216111,0.7248723804388009,0.7303610305321172,0.739963075710756
3,0.6927441973514442,0.6787789508449523,0.6858937332047683,0.7016086621069134
6,0.6299709488325369,0.6188528678359088,0.6205281715755704,0.6526067874069779
9,0.5673858057671781,0.5561244040304586,0.5557409875928829,0.5866324835118357
12,0.505860638956867,0.49249217516604105,0.49180707734770124,0.5187774618520701
15,0.4481144247131814,0.4362151404921974,0.4337161673192182,0.4533844736410113
18,0.40136719755249,0.3892836358116491,0.3887468227237245,0.4193448060251951
21,0.36265873123029385,0.3523119383449095,0.3509565803893266,0.3781089972782968
24,0.3343748694507185,0.3209736088928393,0.3207812120637792,0.34120639453386986
27,0.3101281885753607,0.30240902791695523,0.29779856890366063,0.31385260002013554
30,0.2960315522972585,0.2864615724265596,0.2792699666579497,0.2975034048349239
