,FF,MM,MF,FM
0,0.7392918256544955,0.7323746313392775,0.7271171766233,0.7426760087179372
3,0.6807319050059102,0.6692508236766577,0.6822382925489802,0.6979494041720151
6,0.6267500811956096,0.610070486642823,0.6231926012998631,0.6389260613565183
9,0.5649033438263852,0.5575809381247717,0.5572999936847147,0.5755891755364795
12,0.5000125859809111,0.4910935849487143,0.489549639349057,0.5141534705566951
15,0.4511476021039495,0.4353024691696512,0.4363401926522698,0.4564629241057395
18,0.40100594381958393,0.3942680685428896,0.38802361383211104,0.4104475985398228
21,0.3640330081494794,0.3515676863194794,0.3473085148030975,0.371237050470528
24,0.3352513599064599,0.3196019311249536,0.3183322970271491,0.3398647309776843
27,0.30911103115137245,0.2988483023756273,0.2951083761650316,0.3131809071048351
30,0.29575372690652285,0.2818979168560615,0.28415940732356326,0.3004886821527345
