,FF,MM,MF,FM
0,0.7385415767012068,0.7284988376350157,0.7312324908509976,0.7472542567615397
3,0.6819356323567594,0.6815601234427973,0.6786430716973753,0.6896871667506537
6,0.6318443254716645,0.6180344778788538,0.6207848800749435,0.6511488619388008
9,0.5676985222822821,0.5528644072713351,0.5560304811877573,0.5705401505696807
12,0.49999996627242843,0.48954357892943534,0.49440322038640616,0.5109547797232148
15,0.45425928731885806,0.43489485597549116,0.43310250901900343,0.4608456469276006
18,0.40465260676338816,0.392558965329021,0.3887130138990549,0.41085984292271
21,0.36751590338642287,0.35499020801659054,0.34971022160000703,0.37599366393379297
24,0.3350309984007428,0.3213814985531668,0.3226183501870076,0.3409263682099629
27,0.3148546497670295,0.2984278956240266,0.2977905159886979,0.3178866820750804
30,0.2962671455799856,0.2852353606885057,0.28390836817974435,0.2990177641153066
