,FF,MM,MF,FM
0,0.7411740192958017,0.7287647565422163,0.7255188753543119,0.7547583343292178
3,0.6865393738640296,0.671777308638344,0.6810915933245958,0.7040240668347995
6,0.6253784113717055,0.62295203068299,0.6178494377949036,0.6447679147933041
9,0.5585445420196599,0.5543926635719161,0.558109990145649,0.5779789764303412
12,0.5043546699258412,0.4907317939582712,0.49110443036569223,0.5228135639765186
15,0.4473775269612802,0.440038872896469,0.4354414205787947,0.4646788138009025
18,0.4042392205155895,0.38980125167239044,0.3895734263667557,0.41325631941176
21,0.3622906611269152,0.34938510059086497,0.3487690967948136,0.37237566162034313
24,0.3293823337125059,0.3206393208190467,0.3192095473799551,0.3448963755281777
27,0.3124228367241057,0.3021741059189346,0.29699992701973943,0.31881564802752366
30,0.2923975315889005,0.2831748194573226,0.28099974748352324,0.30142887762080256
