,FF,MM,MF,FM
0,0.7356043700498471,0.724955765734097,0.7345314245789673,0.7488075929730872
3,0.6917948226190713,0.6807817871844423,0.6803786166273221,0.6965671886667985
6,0.6296196952387845,0.6154700649975182,0.6237048184819598,0.6370419688830911
9,0.562580723011819,0.5508769881863718,0.5489744689594153,0.5812927610231741
12,0.503764584197658,0.4978506875739145,0.4944723580075242,0.5111112973924403
15,0.4479482954020216,0.44133695059274336,0.43242833999419594,0.46843791503069676
18,0.40399212762919107,0.3900859480429016,0.3812142387086694,0.41138553609018597
21,0.36843677391719054,0.35188992181843076,0.3456935913928624,0.3706880719094495
24,0.3345145090990415,0.3230701406068978,0.32238087397521253,0.3371097876688797
27,0.31247298338412566,0.30284973249467334,0.2997926294466566,0.31266578902568803
30,0.297007836231518,0.28564490287890043,0.28277705284387145,0.30129582476294764
