,FF,MM,MF,FM
0,0.7393425639031935,0.7297975293971511,0.7333055441508008,0.7506797083557134
3,0.6818418720471202,0.6783128855307865,0.6816011271464637,0.7037067436948086
6,0.6244969113874124,0.6191409013537745,0.6208660443899957,0.6420382280717644
9,0.5690895563824823,0.5543519904765457,0.5560942419109758,0.57978086954228
12,0.5013495971146248,0.49452017036349716,0.4890833149388923,0.5223034396189667
15,0.4453548566481927,0.4350638119129521,0.4363645039291152,0.45726543918766843
18,0.4036300338547697,0.3878982553003594,0.38632159423875284,0.41561795840358867
21,0.3662231512564799,0.3526635675538713,0.3475171935262715,0.3633325704526467
24,0.3374499799055028,0.3221361728805098,0.31880824415407655,0.34033390674631875
27,0.31143964734360363,0.3005594844867302,0.2981226341607259,0.31303505106852547
30,0.29479084250328974,0.2835877221276328,0.28305605545738904,0.2991771117499184
