,FF,MM,MF,FM
0,0.7359366783191695,0.7268756306810678,0.7285110176485081,0.7499455587238179
3,0.6821041467278797,0.6750500025132707,0.683251363924512,0.7027579196471034
6,0.6360187233749853,0.6181783614238555,0.6198708438124595,0.641911120535457
9,0.5630119262784911,0.5611630187498046,0.5553297332250395,0.5733467252372032
12,0.5009780376992502,0.4852481422543889,0.4935499927563552,0.5190952001861885
15,0.4498623084536081,0.43503370156617455,0.43333381318001757,0.45907569166838197
18,0.4035877305000449,0.3869397374623259,0.38774780250994595,0.4105234951647389
21,0.3638027023536285,0.35005145358798434,0.3491108690305274,0.37191935669358933
24,0.33627084457429085,0.3235803063652968,0.31941412944665626,0.3372585543643747
27,0.31324706829754856,0.3023105709472635,0.30042827882159895,0.31819529981764155
30,0.29492661211266147,0.286188050781488,0.2845919360172237,0.2996077132441638
