,FF,MM,MF,FM
0,0.7362674252856328,0.7227762294960197,0.7374324725298135,0.7454921392746593
3,0.6875503151838076,0.6711886555771883,0.6844087328224215,0.6932232035916309
6,0.6259971916670105,0.6189938485813905,0.6202601977411242,0.6367351703883781
9,0.5696566564511448,0.5525364498280096,0.5542055227071871,0.5794390545122706
12,0.5033493998698206,0.49455963419147125,0.49327397621302854,0.5181184144961415
15,0.44794205391213077,0.43967528679072737,0.43193034656909884,0.46236379543464157
18,0.39824962746864234,0.39137312148196945,0.38965071437732324,0.4083320298814175
21,0.3649907627978979,0.35369860665988684,0.35239573149737113,0.37381369671407644
24,0.33755975975203206,0.3226789884687234,0.3226339471303938,0.3376806723337541
27,0.31505385862935636,0.3005934017882969,0.2979376284797397,0.3175224111542622
30,0.2974386788516294,0.28420128507486997,0.28162262045576447,0.29570534779632285
