,FF,MM,MF,FM
0,0.7362335486939299,0.724454584079705,0.735340336414654,0.752847840652569
3,0.6926737359003431,0.6743516448891567,0.6823694629663533,0.7086801920572873
6,0.632877171720896,0.6157106087763053,0.6236541519266379,0.6396253650230673
9,0.5698435437360898,0.5558161864089346,0.5504934370144211,0.5828629030458614
12,0.498648622153561,0.4894606050172011,0.4951359974040695,0.5148668498526356
15,0.45166381679533024,0.43693943757446513,0.4367408646252924,0.45925335697755126
18,0.40259275059755595,0.39030650584810744,0.3868552937965349,0.41525826831467416
21,0.36299979202561233,0.3505064653612729,0.3473007102523881,0.36956821959948993
24,0.33232544494105226,0.31976086455928443,0.322601394840874,0.33959988500238497
27,0.3132954220917368,0.30143973530011586,0.3008365069080498,0.311684623177807
30,0.2978180690534348,0.28354965065237137,0.2851577637935481,0.29848282594090286
