,FF,MM,MF,FM
0,0.7379507037440696,0.7271435392886805,0.7324397802043319,0.7458101412957708
3,0.6915499594326262,0.6758810632041724,0.6762257429706331,0.6978132171532524
6,0.6232645857966493,0.6181412797262723,0.6199093829700425,0.6411646334431748
9,0.570623982619571,0.5587075504547447,0.5601756276727325,0.5792340985871745
12,0.500041613602475,0.48831916631348216,0.49425899320748445,0.5163000595757432
15,0.43960232002031624,0.43299860043099514,0.4376388788392859,0.4641010214794471
18,0.40133137718244455,0.3914380167106731,0.3868857220938928,0.41770400143835806
21,0.36657867124370014,0.34856991538716087,0.3489344375727041,0.3686731900598831
24,0.3344913411610054,0.32183106602770145,0.3196539682249407,0.3425414055818588
27,0.3099142263990936,0.29998643880581,0.29882842052420266,0.3151442302401315
30,0.2950442947149877,0.2851711312006964,0.28382539459253703,0.30061559591768433
